DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD
5490000,5980000,5980000,4830000,5620000,3400000,12100000
103530000,65550000,72520000,82650000,93500000,62920000,75870000
15030000,13070000,13710000,14890000,19680000,16410000,20850000
1650000,1570000,1520000,1630000,1740000,1180000,2040000
10230000,8200000,7760000,8620000,11190000,7640000,15710000
3400000,340000,750000,980000,780000,540000,370000
86450000,79970000,83980000,91780000,104310000,75170000,65940000
11090000,10190000,10710000,10790000,10190000,8800000,10550000
590000,620000,670000,810000,770000,700000,400000
330000,410000,450000,490000,600000,410000,380000
2440000,1480000,1300000,1470000,2200000,1590000,1480000
24580000,18150000,16720000,18580000,18890000,21850000,21840000
12110000,12300000,13780000,16920000,14170000,14170000,14140000
2350000,2380000,2500000,2870000,2590000,2990000,3530000
9440000,6010000,6690000,7190000,8380000,6050000,8730000
6460000,5360000,4660000,5450000,6480000,4020000,4860000
3010000,2020000,1820000,2310000,2670000,1570000,3240000
690000,700000,970000,710000,450000,950000,2030000
1810000,2330000,2240000,1980000,2560000,1390000,2620000
3910000,3020000,2840000,3200000,3350000,2620000,7370000
2030000,1720000,1700000,1530000,1900000,720000,2380000
3810000,1520000,1610000,1900000,2550000,2450000,1430000
4670000,3990000,4240000,4200000,4880000,3620000,4430000
3320000,4130000,3420000,3550000,2790000,1600000,7710000
310000,530000,250000,270000,160000,200000,820000
5010000,5270000,6070000,5270000,7030000,4930000,7860000
13110000,2650000,2670000,3580000,3340000,3650000,2040000
66760000,53590000,56600000,71940000,78730000,58180000,12810000
2320000,2430000,1780000,2340000,2130000,1860000,860000
3070000,2700000,2930000,3590000,3800000,2270000,550000
5640000,4000000,5350000,6180000,7440000,4250000,1490000
1050000,500000,710000,1190000,1210000,200000,50000
20380000,19460000,18280000,20630000,19560000,12180000,7090000
7910000,5410000,6200000,7250000,8790000,5330000,4880000
38180000,26780000,31200000,37820000,38480000,28010000,7890000
1690000,1670000,2260000,2630000,2240000,480000,80000
8000000,380000,260000,440000,440000,140000,140000
17160000,14860000,17800000,19320000,26540000,19230000,24010000
190000,230000,210000,530000,580000,90000,40000
14030000,11920000,12560000,12930000,15190000,7900000,10160000
3550000,3400000,3790000,3450000,5000000,2560000,5340000
3760000,3770000,3950000,3490000,4720000,2680000,7120000
640000,520000,480000,500000,780000,340000,880000
660000,740000,710000,830000,890000,680000,530000
1540000,1620000,1810000,1760000,2180000,2120000,1800000
2020000,1440000,2160000,2160000,2920000,1980000,1960000
1750000,890000,970000,1030000,1140000,1320000,920000
17310000,300000,570000,970000,1310000,190000,470000
750000,680000,760000,850000,840000,650000,890000
4860000,2850000,3590000,3860000,4140000,2550000,4280000
2060000,1890000,2040000,2010000,2500000,1620000,2780000
2030000,2900000,2330000,2410000,4540000,2460000,4290000
370000,330000,350000,370000,510000,220000,460000
3380000,3860000,3570000,5030000,7650000,4650000,8250000
7600000,5770000,5380000,7200000,5700000,6360000,4720000
880000,480000,450000,760000,670000,570000,330000
1230000,1050000,990000,1180000,1100000,640000,1990000
5470000,4520000,4820000,5800000,7070000,6310000,4230000
1880000,2000000,2250000,2010000,1930000,700000,490000
1710000,1860000,1650000,2540000,1560000,450000,4290000
36100000,26410000,30430000,38290000,38380000,17140000,8290000
4100000,2590000,2620000,3390000,2420000,1660000,1950000
15140000,14400000,12850000,13330000,14000000,8110000,7670000
2350000,2280000,2610000,2780000,3140000,1960000,1790000
14030000,13290000,14750000,17730000,20500000,18080000,15440000
4280000,4380000,4680000,5340000,6580000,6460000,4790000
24800000,24380000,26800000,33740000,37140000,35520000,37750000
4140000,2440000,1220000,440000,330000,170000,1760000
21520000,21780000,21060000,21950000,21370000,16130000,5380000
31530000,27730000,32900000,40240000,42260000,29190000,4830000
31170000,19020000,25180000,21090000,24370000,16510000,9790000
9890000,7860000,6790000,8720000,8180000,5760000,5830000
6440000,4490000,4570000,5280000,6000000,4050000,710000
44550000,41750000,44940000,50380000,54220000,34920000,15470000
490000,570000,630000,550000,410000,290000,430000
10080000,8720000,9760000,10650000,18940000,9790000,11790000
1670000,600000,660000,720000,1100000,770000,300000
8650000,7850000,8760000,8380000,7840000,8600000,6250000
2230000,1400000,1430000,1610000,1500000,1240000,2550000
7300000,7360000,8550000,7610000,11680000,5470000,5130000
71630000,71040000,76620000,80800000,106070000,77640000,96450000
550000,480000,720000,560000,950000,310000,540000
560000,690000,620000,620000,660000,580000,560000
3310000,2850000,2830000,2900000,5080000,2030000,3590000
70000,160000,140000,90000,140000,240000,210000
3940000,3270000,3760000,3580000,4720000,3410000,5890000
4970000,4100000,4910000,4750000,6040000,3670000,11230000
1030000,1090000,1180000,1160000,980000,820000,1340000
90000,80000,130000,100000,130000,60000,270000
1180000,1020000,1180000,1360000,1570000,1160000,1950000
4350000,3590000,4800000,4960000,5130000,2540000,3220000
90000,180000,30000,100000,240000,20000,220000
1600000,1310000,1490000,1600000,1440000,1930000,1150000
2090000,1050000,1530000,1530000,1780000,1590000,1490000
12310000,11960000,11330000,9950000,19730000,7720000,6620000
18980000,16300000,18820000,19400000,21610000,16690000,9570000
5530000,5160000,6310000,6600000,6190000,6870000,7020000
16260000,11070000,15430000,17990000,22800000,15520000,13720000
6080000,3100000,3030000,3440000,4450000,3230000,5810000
2520000,1840000,1610000,2790000,2600000,1920000,3400000
550000,490000,300000,340000,430000,1200000,2840000
510000,670000,680000,840000,1020000,1060000,850000
1170000,1160000,1160000,1340000,1740000,1000000,1300000
2950000,1470000,1170000,970000,1610000,900000,3190000
47960000,30530000,28780000,38070000,42290000,37110000,39600000
36030000,35170000,38980000,46270000,44830000,42230000,47060000
15530000,8510000,12480000,9530000,12650000,8060000,16710000
46520000,19790000,33060000,18910000,24310000,18720000,26370000
1450000,880000,1600000,960000,1520000,1250000,1990000
23890000,7560000,17960000,9270000,11840000,8730000,10540000
2050000,840000,1970000,2130000,2580000,1500000,850000
2700000,1570000,1490000,2510000,5190000,3410000,2980000
10350000,8200000,9490000,10930000,12070000,10290000,16480000
10200000,7050000,7610000,9200000,10380000,10060000,6070000
7980000,4800000,5060000,6000000,5700000,5930000,5610000
2230000,1430000,1530000,1840000,2140000,1710000,2900000
20440000,13240000,11950000,11400000,16850000,12540000,7660000
4790000,2220000,4200000,4550000,5120000,3110000,5030000
1780000,3410000,3240000,1970000,2440000,2950000,4460000
5600000,4270000,4180000,5010000,5520000,3400000,4880000
7720000,6270000,6490000,6380000,9440000,5820000,10430000
5110000,3410000,4290000,4240000,6080000,4840000,2480000
1660000,1560000,1150000,1250000,1490000,820000,4240000
42950000,33020000,34120000,43920000,52660000,38000000,34150000
23970000,21690000,20280000,22480000,24720000,19860000,23460000
7950000,5980000,5980000,7090000,7900000,4730000,8920000
10730000,9620000,8450000,8160000,8890000,10000000,12460000
630000,310000,970000,710000,610000,610000,2480000
3190000,4330000,5840000,9380000,7420000,4520000,4500000
9640000,7260000,8190000,9380000,10790000,6500000,9650000
6410000,5740000,5950000,6680000,8080000,4660000,9540000
6010000,5380000,6000000,5740000,5770000,4030000,7510000
7010000,5910000,6330000,6350000,8120000,10270000,9500000
44230000,41480000,48650000,54600000,76840000,64230000,57270000
12970000,10290000,11720000,12460000,22810000,17890000,15360000
24550000,19260000,20350000,24040000,26710000,17680000,16240000
70240000,58060000,58170000,67450000,73310000,48640000,51820000
13860000,10500000,9180000,9460000,10700000,5830000,20350000
6680000,5770000,7110000,7790000,9900000,7600000,1680000
3430000,850000,910000,940000,610000,770000,1520000
11810000,6000000,7460000,8830000,10720000,8030000,9210000
12290000,9970000,12110000,13680000,15200000,11430000,16110000
2300000,3120000,2940000,2570000,3730000,2770000,4250000
41650000,35720000,39620000,42200000,50480000,33600000,28100000
4520000,3360000,3310000,4160000,6400000,3070000,5600000
1690000,1600000,1470000,2440000,1960000,1330000,1780000
470000,390000,370000,460000,500000,370000,480000
700000,1420000,3720000,1460000,1850000,7160000,1210000
21690000,14180000,13640000,13640000,16430000,9410000,15960000
22700000,18000000,17600000,20490000,29550000,18420000,24170000
9280000,8970000,9830000,10370000,13010000,6340000,8700000
4320000,2300000,2880000,2880000,4970000,2480000,4750000
180000,110000,100000,120000,170000,80000,280000
99900000,84490000,91550000,101640000,123710000,95650000,88280000
1190000,830000,980000,880000,1110000,560000,1720000
4800000,4530000,5520000,4510000,1220000,620000,2540000
2760000,2700000,2990000,3030000,3450000,2380000,2310000
5680000,5200000,4960000,5150000,4380000,3530000,8930000
1190000,1050000,1240000,1390000,1570000,1020000,1570000
14510000,15510000,15800000,17240000,22310000,17210000,24750000
1170000,1760000,1830000,1910000,1530000,1990000,2480000
4640000,3920000,4620000,3810000,4760000,2440000,4150000
12010000,10970000,11730000,11820000,13790000,11350000,16060000
3080000,1690000,2110000,2220000,2520000,1630000,1160000
13080000,10700000,9770000,11910000,11170000,8010000,8760000
1000000,1130000,1230000,1090000,1500000,1280000,850000
71560000,55730000,62880000,71310000,76810000,50620000,23220000
10390000,2870000,2940000,3840000,3660000,2290000,3180000
2250000,2230000,2100000,2400000,2280000,2010000,3960000
870000,900000,960000,1040000,870000,890000,1200000
5220000,3830000,3920000,4380000,6880000,4480000,4140000
2790000,3470000,3330000,3990000,3660000,2670000,2910000
11430000,10400000,11220000,14260000,15700000,12160000,9640000
480000,360000,480000,450000,630000,60000,90000
230000,160000,360000,260000,410000,250000,220000
51180000,46330000,45680000,51230000,52400000,40980000,21220000
31650000,31970000,36510000,39810000,44440000,36210000,34740000
490000,80000,40000,50000,20000,20000,180000
1700000,1300000,1400000,1400000,2120000,1390000,1820000
480000,750000,710000,920000,910000,720000,910000
2760000,2010000,2290000,2610000,3870000,2920000,3150000
18150000,7240000,7700000,9570000,13450000,10310000,4700000
480000,300000,640000,340000,650000,440000,1020000
20450000,21320000,26430000,36830000,39970000,26390000,9680000
340000,260000,320000,670000,2090000,300000,130000
47070000,1760000,1820000,2220000,2400000,1330000,2380000
2260000,2290000,1330000,2330000,4030000,1450000,2960000
61400000,3410000,2920000,3330000,3850000,2760000,2490000
168470000,14490000,11790000,11820000,14180000,12190000,8070000
27940000,22990000,28480000,26180000,33410000,19970000,30370000
1840000,1500000,2490000,1970000,2690000,1790000,2310000
231170000,21650000,21780000,30840000,33000000,15500000,26020000
7290000,610000,690000,450000,350000,380000,1540000
7180000,60000,120000,90000,180000,20000,10000
4260000,270000,100000,70000,520000,560000,380000
170000,120000,280000,390000,440000,390000,290000
370000,440000,330000,580000,1020000,90000,50000
4690000,4310000,5160000,7180000,5990000,4920000,4860000
8300000,6540000,6670000,9630000,9200000,4610000,7150000
11370000,9660000,13740000,12510000,16650000,11650000,14800000
2900000,230000,250000,380000,320000,40000,390000
29900000,740000,630000,310000,0,300000,20000
3280000,30000,50000,50000,90000,40000,90000
1740000,1380000,2000000,2420000,3150000,1410000,1010000
2360000,190000,2180000,210000,220000,4890000,90000
30000,50000,90000,90000,90000,60000,0
1330000,530000,830000,690000,960000,230000,630000
3300000,2650000,2980000,3070000,3740000,2310000,4940000
27790000,20750000,21300000,24530000,25450000,19890000,26510000
1150000,390000,590000,650000,840000,370000,460000
6800000,7350000,9100000,9290000,9160000,9030000,4550000
2930000,3360000,3870000,4120000,3730000,3690000,4330000
15730000,13750000,14170000,15980000,18830000,12570000,7810000
5140000,5040000,5520000,6110000,7580000,4830000,8530000
5810000,2900000,14720000,5100000,7630000,24930000,3240000
10590000,4580000,5180000,6210000,6300000,6240000,5280000
2380000,850000,1100000,1280000,2030000,2410000,1170000
770000,800000,900000,720000,1170000,730000,1220000
530000,450000,390000,380000,720000,330000,660000
920000,590000,590000,760000,760000,610000,260000
4020000,320000,180000,170000,130000,280000,470000
5160000,2610000,2640000,2870000,3380000,1110000,1500000
19610000,790000,600000,580000,720000,290000,260000
1130000,930000,1080000,1330000,1020000,280000,670000
14460000,12140000,12230000,14250000,13520000,9900000,7830000
4110000,3700000,3490000,4080000,5220000,2520000,4850000
1370000,2270000,2050000,1600000,2090000,2570000,2820000
920000,1010000,1070000,1120000,1680000,680000,1950000
8840000,4110000,5100000,5130000,6400000,6570000,5940000
15810000,10790000,12730000,14640000,18180000,12340000,18120000
250000,210000,190000,230000,300000,200000,340000
4470000,3750000,4000000,4530000,4590000,3130000,2880000
8200000,8230000,7740000,8780000,9050000,4620000,8880000
4410000,4390000,4890000,5890000,5990000,2320000,3990000
2320000,1580000,1790000,2340000,3390000,2400000,1960000
7660000,5310000,4810000,5520000,4900000,4310000,8390000
2480000,3020000,2750000,2410000,2900000,2250000,2740000
4970000,4840000,5620000,6500000,10120000,6960000,7500000
60590000,1720000,1860000,1690000,2050000,1600000,2420000
3100000,2890000,2850000,2600000,5380000,2350000,3690000
44440000,33920000,29240000,37150000,41050000,24430000,9910000
3670000,1540000,2920000,3070000,3320000,2020000,3520000
3550000,4540000,4970000,5340000,5170000,6190000,6310000
7930000,7920000,9230000,10140000,11500000,7600000,8480000
560000,470000,490000,570000,500000,410000,670000
5480000,5330000,5370000,5960000,6360000,3930000,4410000
8360000,7290000,7430000,7940000,8820000,3970000,3820000
11830000,9750000,9000000,11660000,11710000,8490000,8080000
20260000,19950000,19220000,23420000,21320000,8620000,8300000
6080000,6060000,5790000,6190000,6590000,4220000,4150000
2450000,2180000,2760000,3220000,3060000,2490000,1140000
16690000,16110000,18080000,21890000,22110000,16820000,10540000
3260000,3140000,3660000,4420000,4260000,3930000,1220000
1210000,1510000,1330000,1430000,1330000,730000,1420000
250000,260000,290000,280000,390000,340000,110000
19550000,15140000,15580000,17540000,14660000,4860000,9230000
5580000,3770000,3030000,6520000,5700000,1920000,1940000
11550000,12500000,12010000,13250000,9850000,3740000,10610000
35470000,32060000,31390000,34240000,33470000,11100000,19910000
29090000,28180000,34200000,33800000,28620000,22380000,11560000
1880000,1520000,1670000,1940000,2310000,1850000,900000
32320000,21000000,20620000,26480000,26320000,16960000,11060000
17670000,17740000,19060000,19090000,18480000,11310000,2340000
1100000,720000,770000,840000,740000,580000,510000
65180000,31130000,30800000,39840000,39440000,25440000,11770000
36080000,27660000,28780000,34310000,40430000,24370000,18070000
1410000,790000,990000,1050000,2240000,1730000,620000
320000,360000,310000,410000,550000,420000,1210000
24230000,15460000,17130000,21480000,20200000,12270000,8210000
6840000,7020000,7240000,8350000,7860000,4140000,4090000
190000,180000,240000,290000,230000,90000,120000
9200000,8510000,9350000,10580000,14540000,11190000,11400000
190000,390000,560000,560000,680000,760000,500000
2830000,2020000,2020000,2290000,2430000,1510000,3140000
230000,290000,400000,490000,560000,660000,310000
960000,1100000,960000,1340000,2140000,1180000,1150000
0,190000,30000,40000,40000,400000,440000
