DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD
24700000,27600000,40600000,31500000,16600000,25500000,41100000
9900000,8200000,22700000,13100000,3000000,12600000,23200000
1100000,100000,400000,1000000,0,400000,800000
4400000,10200000,17300000,8700000,6200000,8500000,10000000
338100000,438700000,525800000,419700000,409800000,399900000,245600000
13800000,20600000,33200000,27800000,27100000,33100000,30200000
14500000,19700000,28600000,17200000,17000000,13600000,7900000
558000000,724400000,415300000,415900000,194600000,485500000,492500000
644200000,783400000,855300000,629800000,653600000,626500000,370000000
179300000,232600000,314100000,209500000,321000000,205900000,360100000
367700000,523800000,624100000,518600000,427400000,490000000,354900000
363100000,509300000,597100000,393000000,593600000,359100000,238400000
29600000,37300000,31100000,37100000,20700000,38100000,25300000
165800000,229600000,279400000,222100000,143200000,220200000,160000000
66200000,83700000,83400000,86200000,59900000,86300000,59400000
200000,200000,100000,100000,16800000,100000,2800000
24000000,22800000,15500000,31800000,19800000,37300000,23700000
32000000,31800000,46300000,33500000,41900000,45300000,39000000
29300000,58900000,41600000,43800000,39000000,40700000,3300000
105500000,131400000,212000000,137700000,76100000,139800000,55100000
43700000,58900000,60900000,50100000,33600000,42500000,29800000
177700000,283900000,350400000,199600000,161100000,72000000,54600000
142200000,188000000,205200000,114000000,30800000,13300000,49500000
375100000,593300000,588500000,386200000,382600000,211000000,203400000
300400000,323900000,315600000,259300000,198800000,220100000,93900000
16900000,23000000,35800000,23300000,26100000,27400000,20500000
31000000,48300000,61700000,44800000,12900000,50100000,46200000
4500000,3900000,6300000,2100000,8800000,6800000,7300000
26400000,37100000,26600000,22500000,16400000,24700000,43200000
145700000,180700000,181500000,138800000,124200000,21400000,39400000
64700000,58700000,59600000,56700000,37600000,47100000,9900000
130000000,161600000,174700000,139500000,96200000,117000000,35100000
219000000,322700000,304200000,222400000,194100000,194000000,136200000
2500000,3800000,7700000,6200000,4000000,5800000,3100000
47200000,64900000,81100000,59600000,65100000,71200000,92400000
119400000,206300000,206800000,115000000,93200000,85900000,19600000
9100000,13400000,12300000,9000000,12100000,8000000,6400000
20900000,41300000,51100000,41100000,17200000,38600000,28700000
12700000,27300000,32600000,23800000,15400000,17200000,12100000
50500000,82300000,117600000,81600000,25200000,62300000,51500000
9500000,13000000,13400000,10700000,4800000,6900000,9000000
26800000,40300000,45700000,34400000,34000000,33200000,13500000
28700000,52400000,64400000,42400000,36400000,43200000,13300000
11200000,12700000,16100000,13000000,9700000,15300000,7000000
2900000,5500000,7200000,4300000,4300000,5700000,5100000
79600000,140900000,130400000,102600000,91400000,93300000,74700000
25800000,33200000,29300000,23600000,27100000,25200000,5100000
71800000,103800000,106100000,77300000,80700000,73000000,13900000
181900000,226300000,251100000,194000000,163800000,186000000,113900000
10800000,17300000,15500000,10500000,15300000,13100000,14200000
23200000,27200000,29400000,21700000,21100000,22400000,3900000
185200000,216800000,216400000,166600000,1146700000,169000000,26000000
114000000,125100000,178400000,105200000,179300000,125300000,16500000
130600000,177800000,180100000,153100000,89500000,106900000,92100000
119500000,220100000,205500000,124400000,104100000,124300000,33100000
176600000,262400000,278300000,204100000,183600000,171700000,136300000
74800000,126700000,138800000,97300000,121200000,87500000,55300000
36500000,52100000,65300000,43600000,32300000,39000000,19000000
1600000,5800000,9100000,3100000,22200000,1900000,11400000
40200000,57600000,58700000,50400000,35500000,51400000,42400000
146400000,186000000,196900000,153400000,142600000,147500000,105200000
487000000,482000000,608800000,414700000,314000000,423600000,339200000
13900000,16900000,17200000,12000000,124700000,9800000,5800000
222200000,317100000,274500000,207700000,109200000,195900000,92100000
2900000,600000,2700000,2900000,3200000,2700000,2100000
260700000,324000000,363800000,242100000,337000000,240000000,74000000
21900000,25500000,19000000,13000000,34900000,13400000,26400000
1100000,0,100000,600000,0,200000,2600000
9300000,21700000,25900000,14300000,21000000,17500000,15700000
13800000,15000000,24800000,16300000,22300000,16600000,9400000
584900000,880400000,857900000,657200000,651300000,672800000,339700000
11700000,16400000,12200000,11700000,21000000,10800000,7300000
17700000,23800000,34300000,22200000,49200000,20900000,14800000
668400000,740400000,672000000,565200000,522500000,499400000,136900000
1657700000,1719400000,1832800000,1519200000,1092600000,1282600000,442100000
39800000,37900000,40000000,32100000,28900000,36200000,2200000
33700000,65400000,84800000,42600000,26100000,47700000,23800000
3800000,5400000,7400000,6900000,4700000,7100000,46400000
810500000,1137900000,1198000000,789400000,822600000,757800000,181100000
372300000,481800000,543800000,383100000,402600000,366200000,209600000
6300000,5500000,20900000,4000000,385100000,6700000,3000000
5600000,7700000,2700000,200000,5600000,4500000,3000000
100000,100000,0,0,19800000,200000,100000
130800000,169900000,178300000,151400000,147000000,155600000,124800000
181000000,189600000,258800000,160300000,284000000,150900000,88300000
55500000,51800000,56000000,51200000,19300000,56000000,17100000
215600000,282600000,290000000,238800000,265400000,199100000,74000000
65500000,102900000,93800000,72700000,68800000,83300000,22800000
33100000,48000000,45900000,40600000,29200000,34200000,17400000
6700000,7700000,8600000,7100000,6000000,5500000,7300000
27100000,34200000,48600000,39600000,38300000,46600000,39300000
434400000,521800000,623600000,328500000,567600000,374500000,110900000
97400000,140200000,128800000,108500000,113100000,96900000,49600000
2200000,0,600000,2800000,4600000,6900000,8200000
65800000,61400000,73500000,58300000,75300000,60100000,62900000
124400000,189100000,267800000,155500000,198800000,174200000,147800000
25900000,29900000,40800000,30700000,31300000,26900000,21300000
21200000,28100000,27500000,24400000,29300000,23500000,17900000
22400000,19500000,26500000,23400000,18900000,23400000,18600000
104700000,158000000,196900000,131200000,142500000,119800000,77500000
169500000,240600000,271200000,194500000,175100000,150400000,93000000
14100000,15700000,21800000,17900000,1700000,15200000,12500000
115900000,194500000,255500000,173800000,182800000,164000000,94000000
85800000,147900000,144800000,128300000,33700000,127900000,102400000
48100000,66100000,66400000,54900000,261200000,60200000,55600000
21900000,3700000,14600000,27400000,0,19200000,29700000
55100000,89800000,134400000,90300000,90400000,72500000,45400000
42700000,36600000,37300000,37800000,35100000,56500000,26300000
15600000,12400000,19600000,20600000,500000,18300000,13400000
23500000,25500000,22600000,18300000,44400000,19800000,9800000
18500000,26400000,26200000,26400000,23000000,22900000,10300000
53100000,61700000,49800000,45900000,20100000,40400000,12200000
209700000,278000000,245000000,240000000,178300000,220400000,143100000
271000000,364500000,416700000,314500000,288600000,297100000,265500000
323500000,393400000,302100000,306700000,330700000,310200000,293300000
255000000,436500000,460900000,307900000,167400000,274600000,139300000
28100000,42800000,52000000,35900000,53100000,27700000,13600000
6700000,11600000,13200000,6500000,1700000,8100000,3600000
3800000,1200000,1900000,800000,10300000,5800000,800000
100000,500000,100000,200000,500000,0,6800000
31300000,44500000,60300000,39300000,32700000,34000000,17000000
257600000,336900000,292600000,222100000,323100000,221600000,208400000
341200000,406000000,326200000,338300000,713500000,252000000,135500000
17000000,20900000,7200000,12700000,4300000,9700000,10300000
6700000,7700000,8200000,4400000,3100000,4700000,400000
26100000,33200000,33900000,28800000,34500000,25800000,12000000
10800000,9400000,11900000,13500000,107900000,9500000,5500000
309800000,469600000,397100000,394400000,294900000,354700000,250200000
12600000,24300000,28600000,23500000,2300000,16600000,8500000
51500000,68500000,65200000,57700000,50600000,52100000,27000000
23300000,37900000,46500000,29000000,24200000,28000000,1100000
46100000,69400000,85800000,67200000,49800000,75100000,74100000
23100000,25400000,30900000,22600000,8800000,18800000,10500000
3800000,1300000,4400000,3200000,6600000,4600000,31600000
1600000,3300000,4300000,2600000,300000,3200000,3200000
19500000,29600000,27400000,22200000,24500000,20100000,3000000
3500000,3900000,5300000,3200000,0,3100000,1800000
16200000,28600000,38900000,27000000,21800000,27800000,21000000
104900000,92000000,84000000,65800000,81700000,90400000,174300000
3100000,2500000,3800000,3800000,3600000,4500000,900000
11300000,14500000,19300000,12000000,26000000,16200000,11800000
226500000,232900000,258900000,231600000,241300000,342700000,163500000
628300000,502800000,238200000,459500000,412800000,546200000,224800000
173100000,257900000,339900000,228400000,216200000,221800000,180700000
218100000,350100000,334700000,235100000,149400000,107100000,49800000
248200000,323500000,364400000,257500000,242400000,173300000,86000000
21300000,20200000,30800000,27000000,26900000,30300000,15300000
5800000,10100000,5800000,3700000,7100000,4700000,3400000
223400000,273300000,259900000,223000000,192500000,177900000,115400000
28300000,37800000,31000000,35900000,32500000,26900000,7800000
21900000,30000000,31100000,25500000,21700000,24800000,16600000
88200000,130300000,120500000,105900000,64300000,86000000,59500000
15000000,17800000,15600000,15800000,16900000,13900000,200000
204400000,294600000,378000000,255400000,582100000,236300000,145500000
15100000,24100000,17500000,20300000,21600000,20400000,13600000
47800000,66000000,102100000,66800000,15700000,64700000,58900000
325300000,424600000,435500000,405500000,79200000,365200000,235500000
2700000,6400000,11000000,6600000,6800000,9400000,10400000
10000000,14700000,13200000,9900000,7700000,8300000,6300000
342500000,499200000,459300000,392500000,397900000,355700000,250100000
8500000,12300000,13100000,11400000,9300000,11000000,7400000
198900000,296000000,311200000,287000000,43100000,239500000,93600000
3300000,3100000,4800000,3100000,4200000,3900000,2600000
23700000,37300000,41400000,22800000,47500000,30500000,20400000
43500000,55800000,70100000,42000000,39200000,42500000,24300000
29700000,38200000,53100000,35000000,24900000,37000000,18300000
19400000,25900000,36600000,31700000,1900000,28900000,12700000
53000000,57200000,74400000,58800000,40800000,53900000,40000000
4900000,5900000,9100000,6600000,100000,6300000,5200000
6500000,8000000,8100000,5600000,500000,7300000,5400000
2400000,6500000,1700000,900000,3700000,3100000,5800000
24100000,42300000,27800000,19700000,14800000,15400000,41000000
183300000,246100000,152700000,152600000,91300000,122600000,211100000
442400000,739200000,860500000,594400000,608200000,439200000,315400000
1200000,2100000,500000,700000,0,2700000,3300000
36200000,55100000,50400000,44600000,39200000,45200000,7900000
3500000,5100000,4100000,4500000,1200000,4500000,3800000
43000000,85300000,112800000,67500000,53100000,66600000,59600000
787400000,1153600000,1276700000,1011000000,794700000,981400000,650600000
30000000,49000000,60200000,37400000,31800000,41900000,29400000
37700000,81700000,127300000,54300000,85100000,74000000,61300000
708700000,801500000,744000000,714300000,617500000,583200000,321200000
89600000,144200000,114300000,99600000,88900000,78300000,59700000
12200000,14200000,9800000,7600000,1800000,8000000,3100000
24800000,50800000,49400000,38700000,33000000,37700000,26000000
69400000,65800000,65900000,62700000,150000000,58800000,22800000
6400000,12700000,13600000,11100000,9600000,8900000,4300000
8500000,9400000,9400000,7900000,15600000,9400000,7200000
9300000,13900000,19600000,11600000,16300000,10800000,2200000
4200000,8700000,14100000,9200000,3000000,8100000,8900000
29100000,63000000,69200000,45200000,35500000,33600000,36500000
6000000,8000000,12300000,8300000,8800000,6400000,5600000
24200000,50200000,45000000,38700000,70500000,74000000,73000000
22200000,32600000,29700000,28300000,19300000,22700000,5900000
2600000,4400000,3700000,2600000,1600000,2400000,8200000
600000,35600000,32100000,700000,0,300000,0
559700000,944300000,927100000,603700000,976700000,529600000,116100000
42400000,52300000,50100000,40000000,14800000,43000000,7400000
44500000,55100000,59700000,41600000,20100000,34200000,11000000
79900000,111000000,99200000,77200000,76600000,76500000,21400000
25900000,37500000,39000000,25100000,3100000,19600000,2500000
783700000,805600000,737500000,640400000,551900000,667200000,155100000
129700000,187200000,188000000,137800000,149500000,110200000,56700000
496400000,607000000,642900000,490000000,331700000,432200000,132100000
62500000,55400000,65400000,60600000,72700000,62600000,10000000
117600000,149800000,174000000,125800000,109000000,132600000,110800000
6900000,9000000,6200000,7000000,8100000,6700000,3200000
66400000,86900000,98500000,59900000,68800000,66600000,57800000
18000000,19400000,23600000,29900000,2300000,19700000,11000000
14000000,10800000,16100000,16500000,500000,16400000,20300000
13800000,20600000,21800000,20900000,29500000,18600000,15000000
23600000,28000000,33100000,26000000,14300000,20600000,8100000
10400000,13800000,18600000,12700000,17400000,13400000,0
2800000,7800000,7000000,2500000,36500000,1800000,23400000
24100000,14800000,19900000,25200000,18500000,22100000,2900000
11200000,14800000,18700000,18500000,15000000,18200000,4200000
6700000,9500000,11000000,10400000,8100000,9300000,7100000
19400000,27500000,37700000,25500000,27900000,26100000,21900000
47800000,58200000,95600000,79100000,93800000,90400000,74700000
45400000,56800000,65700000,47400000,16400000,41800000,14800000
13900000,13100000,9000000,7600000,4900000,12100000,11500000
1900000,2600000,2100000,1600000,0,1800000,800000
68000000,73700000,64100000,54600000,62600000,46500000,14700000
13600000,13300000,18400000,13600000,1200000,11300000,3800000
2600000,4600000,1500000,3000000,2800000,3200000,2800000
10500000,6900000,34000000,16700000,15700000,17500000,11500000
14600000,27500000,26800000,14200000,17800000,13400000,5800000
128100000,180500000,188300000,128400000,129300000,30300000,21900000
435100000,542200000,661100000,422400000,395200000,376100000,66000000
79300000,111700000,118000000,72500000,51900000,21800000,29800000
74400000,112400000,100000000,86000000,52500000,85700000,22200000
10000000,8000000,23100000,12700000,16300000,19300000,7700000
0,0,0,0,2000000,0,200000
79900000,89900000,98900000,80500000,137400000,85200000,59900000
14100000,11300000,20100000,11900000,32600000,13200000,9100000
52700000,61400000,87200000,60400000,75100000,64100000,47300000
96000000,114300000,35300000,24500000,27200000,17600000,12300000
1037400000,1329500000,1279700000,962900000,1258200000,1008100000,156300000
1147000000,1689100000,2104800000,1259300000,1688900000,1173400000,322100000
238600000,336600000,294100000,210500000,218400000,220000000,47000000
13500000,23400000,29100000,19400000,22800000,24100000,29100000
33800000,46700000,40500000,34000000,22800000,29100000,31300000
239500000,324000000,326900000,219200000,215700000,211100000,65500000
100000,0,0,0,2900000,0,0
31900000,34400000,26600000,28400000,31600000,21700000,15000000
805900000,970100000,888900000,760000000,580800000,530000000,174800000
70400000,81100000,94700000,73600000,130800000,86300000,52000000
16600000,36800000,38000000,24100000,33800000,34300000,32300000
175300000,227100000,197400000,166700000,168000000,146400000,77600000
56500000,66900000,84800000,56100000,61500000,54000000,37400000
6700000,11600000,13300000,13300000,35100000,12500000,12100000
33300000,52700000,62200000,44700000,40600000,38200000,39700000
102600000,166900000,187000000,138400000,116700000,125700000,58100000
603900000,820500000,885800000,704700000,690000000,556200000,343700000
7400000,7800000,11800000,8800000,8900000,9700000,6200000
53700000,84500000,98300000,77000000,29700000,72400000,57700000
10600000,8000000,9600000,9900000,9000000,9100000,9800000
40000000,57800000,91400000,56500000,11600000,63400000,23000000
24500000,39600000,61400000,38700000,20800000,44700000,49900000
13800000,13600000,17200000,15400000,400000,18800000,17500000
700000,1100000,1700000,1100000,1800000,1100000,300000
1200000,1400000,600000,1700000,0,1000000,1300000
34200000,50500000,62200000,50600000,47300000,44700000,29600000
29900000,41000000,54000000,31400000,198900000,37000000,26800000
10400000,16800000,17200000,14800000,0,12800000,9300000
13900000,14500000,22600000,14400000,14500000,15500000,11300000
13900000,8300000,9600000,10900000,6800000,6700000,4000000
281900000,237100000,264000000,209700000,134500000,169200000,95300000
57100000,61700000,98200000,95000000,50200000,51200000,33400000
47400000,59100000,118100000,38200000,93900000,44100000,13500000
3100000,2700000,1600000,1700000,0,2000000,700000
60100000,109200000,71000000,70400000,7000000,79000000,19000000
12200000,21000000,28700000,15600000,15500000,18400000,4600000
70100000,97900000,104700000,117700000,119500000,85400000,53100000
19700000,16500000,12500000,12500000,25900000,16200000,10600000
144000000,295900000,332200000,201700000,97600000,184100000,112300000
14500000,18500000,23900000,22600000,14800000,15100000,12600000
1200000,40500000,37500000,4600000,4200000,4900000,15600000
221100000,243000000,218200000,243900000,297500000,240300000,164700000
179100000,209300000,196800000,198300000,246300000,194200000,132200000
100000,5200000,10800000,1400000,200000,0,0
14100000,24700000,16100000,18600000,20100000,18800000,2400000
157200000,210000000,235200000,200500000,175300000,183000000,119600000
48900000,85200000,95100000,71000000,109400000,55900000,64500000
23800000,30300000,35600000,28500000,27100000,25300000,14800000
22500000,27000000,34900000,35600000,29500000,29500000,40100000
15800000,17400000,14600000,15300000,1700000,10000000,46400000
600000,500000,600000,600000,3400000,500000,6700000
104500000,145000000,152800000,129400000,158600000,141100000,163800000
39100000,66700000,86900000,60200000,56900000,52600000,33700000
54900000,80400000,70000000,65400000,66500000,66300000,32000000
3900000,6500000,4000000,4600000,0,4300000,3100000
20100000,31000000,32600000,21300000,26800000,22100000,11700000
70700000,105100000,100100000,68000000,54000000,67200000,54900000
69700000,102700000,101100000,77400000,89900000,69600000,47800000
60600000,90100000,120700000,80700000,99100000,67900000,22200000
23200000,36100000,35300000,31100000,16100000,24300000,17400000
20000000,41800000,41300000,34400000,24000000,27000000,26900000
5100000,4000000,2900000,3000000,0,3600000,2000000
5900000,9000000,13500000,10800000,700000,8000000,3800000
28100000,40400000,37800000,23800000,31500000,24500000,5700000
330200000,405800000,492800000,331000000,296900000,295200000,167300000
132100000,158300000,181500000,161200000,139600000,138000000,85100000
3300000,8500000,6500000,9800000,7000000,10100000,6400000
63600000,46300000,37900000,50600000,63500000,40100000,64600000
75200000,116800000,126500000,89800000,78900000,73800000,48700000
8500000,15800000,25800000,10200000,2700000,12400000,5100000
31500000,39300000,41600000,35600000,64800000,32600000,18200000
44300000,81600000,79900000,54500000,47300000,51800000,41500000
54200000,77800000,105700000,54800000,99900000,50800000,45900000
231600000,377900000,411700000,239000000,350500000,245400000,195600000
44500000,58800000,76800000,46500000,75000000,57700000,43700000
273200000,345000000,322400000,279300000,266300000,237000000,152100000
568900000,724100000,781700000,625400000,534200000,535800000,257300000
419900000,529500000,588800000,458700000,218600000,430900000,231500000
142300000,142800000,148000000,107300000,142300000,90500000,29400000
15900000,29100000,31100000,26400000,25200000,26600000,18100000
160200000,214800000,260800000,187600000,133200000,186400000,84500000
106900000,140600000,165200000,110900000,115000000,124300000,85300000
31900000,51300000,65300000,47400000,36100000,42200000,42000000
700000,3200000,20300000,1800000,3100000,700000,0
570400000,729500000,734000000,617600000,461100000,536800000,244200000
40400000,55000000,50400000,49600000,31000000,42700000,27100000
19700000,21800000,21500000,21800000,19400000,21200000,15600000
9300000,121300000,12600000,9500000,5100000,9200000,7900000
0,200000,100000,0,5300000,100000,0
127100000,166800000,234800000,170600000,92800000,103300000,171600000
15000000,17200000,29800000,22800000,21400000,25400000,31100000
6500000,6000000,9600000,5400000,200000,5700000,3900000
98100000,123400000,83600000,74500000,10700000,8600000,13900000
55400000,87800000,78300000,55500000,52800000,50400000,10100000
1000000,1000000,600000,800000,7300000,200000,100000
336200000,472300000,490100000,374700000,369900000,340500000,268200000
102700000,161500000,176900000,128700000,129400000,112100000,102800000
8700000,11200000,13200000,9200000,11400000,9700000,7400000
95200000,157000000,162500000,103400000,100800000,98700000,82900000
47900000,77400000,87300000,50300000,58300000,56000000,19500000
188400000,228000000,254600000,179900000,164700000,180000000,88600000
6500000,800000,3900000,8100000,8400000,3200000,13500000
459000000,560100000,605600000,445700000,412300000,391100000,54800000
53100000,60600000,35000000,34500000,19200000,29300000,55200000
69700000,80300000,96400000,72800000,79300000,72400000,43600000
12100000,21700000,20500000,11200000,67200000,13100000,7200000
45400000,56300000,70000000,48900000,30900000,49600000,41300000
3800000,2900000,7300000,4300000,0,1500000,1000000
280700000,358800000,418100000,335300000,277400000,285600000,125900000
3600000,2900000,6200000,4900000,3600000,5000000,300000
9200000,20100000,27700000,10900000,8400000,9300000,4500000
13800000,20100000,21900000,17100000,14200000,16000000,10800000
455200000,580200000,547200000,430900000,559800000,366000000,139100000
97400000,137300000,132000000,114400000,90200000,96500000,58600000
40900000,73200000,80700000,50400000,56600000,46800000,23800000
30300000,42600000,58200000,36900000,27300000,34000000,30900000
2000000,1600000,1000000,800000,0,1000000,1700000
778300000,1037800000,671000000,718500000,478000000,605400000,993000000
33100000,41600000,30200000,14200000,29700000,29200000,56900000
3000000,12500000,2400000,2100000,1000000,4400000,17900000
109200000,89400000,58200000,63700000,53400000,68400000,95300000
132100000,63600000,85400000,56700000,36900000,60300000,85800000
64500000,91100000,86300000,70400000,44300000,106300000,26800000
258700000,440900000,488100000,324900000,321300000,327200000,241900000
700000,8400000,2800000,100000,4000000,5300000,11600000
462200000,593200000,544900000,432500000,193000000,388900000,429500000
109500000,70800000,82500000,70500000,109800000,78000000,93000000
77600000,115500000,87500000,65900000,42000000,54600000,87800000
133300000,237400000,266600000,183600000,161100000,163600000,125200000
1400000,2300000,1700000,1500000,200000,13200000,800000
2300000,200000,200000,200000,0,6500000,0
5400000,5000000,10800000,3700000,32300000,10400000,15200000
100000,100000,200000,100000,7800000,0,0
48300000,59700000,71900000,47300000,26500000,83300000,44400000
13000000,20300000,19400000,14300000,13100000,11700000,8300000
37900000,26600000,33600000,23400000,40900000,26500000,27500000
36000000,43800000,48700000,42700000,22200000,28200000,29000000
9300000,12800000,17500000,11000000,500000,5600000,4300000
164700000,207400000,225900000,194900000,162500000,173200000,54700000
262700000,394600000,415700000,314600000,215800000,272200000,207100000
34500000,46400000,42000000,25600000,141800000,29800000,10200000
52700000,81900000,99700000,66400000,52300000,62600000,38600000
18100000,24400000,41300000,21700000,31300000,23900000,14000000
49200000,68400000,68700000,66500000,66800000,59700000,16800000
31200000,39500000,38100000,37900000,47700000,39700000,17700000
21400000,31000000,31200000,29200000,25700000,23400000,1600000
13400000,17200000,8600000,16300000,11300000,14200000,6200000
159600000,244100000,238300000,170800000,145700000,148800000,65000000
42100000,71000000,62500000,39100000,26700000,42200000,21200000
20700000,30100000,45600000,25800000,8400000,31000000,10800000
89800000,84900000,100600000,81900000,46500000,64800000,59200000
131600000,168500000,221000000,166300000,133500000,149400000,94900000
18100000,17600000,29000000,19900000,122100000,24000000,15300000
32500000,40400000,38700000,39600000,23600000,26200000,20000000
100000,400000,100000,200000,4000000,300000,400000
17300000,23100000,31200000,17300000,13700000,20400000,13200000
26600000,38800000,92900000,42700000,8400000,46700000,42900000
32500000,37900000,44400000,37700000,36300000,28600000,24800000
5700000,10900000,9600000,4600000,9000000,6000000,2600000
49500000,56300000,84100000,59300000,84600000,70500000,64400000
36400000,11600000,35800000,31600000,45600000,23300000,5600000
472700000,397500000,472200000,342300000,385500000,338400000,86900000
15800000,16800000,10600000,12400000,10800000,8900000,6000000
13100000,10300000,33100000,23500000,20700000,16600000,1100000
74300000,96300000,131300000,81300000,66500000,88500000,55200000
24200000,34000000,37400000,23100000,38300000,26400000,13100000
120100000,202800000,205300000,147800000,170400000,135900000,129900000
13700000,24400000,27600000,18100000,19900000,16600000,13700000
53200000,79500000,75600000,37000000,56400000,40100000,28300000
135100000,219600000,204000000,165600000,128000000,107800000,51600000
147700000,189600000,174800000,156100000,74600000,155200000,68500000
98700000,139000000,122700000,94300000,121000000,62000000,23200000
89300000,107400000,108000000,93700000,64600000,74300000,40600000
14500000,13100000,13700000,11200000,2500000,9200000,7000000
271400000,311400000,330400000,240700000,289500000,205400000,61000000
86700000,129300000,118100000,80400000,74800000,75300000,10500000
23300000,27400000,25700000,23200000,25900000,17700000,9100000
57000000,62300000,74500000,60000000,20700000,47100000,15700000
17300000,34900000,20200000,9900000,16900000,16800000,4300000
153200000,189000000,170500000,158200000,214300000,52900000,65400000
111000000,134200000,130700000,93600000,110400000,74400000,12700000
45400000,66600000,66400000,49200000,26500000,11000000,21400000
344700000,461600000,436000000,343000000,214700000,122400000,124500000
123600000,120900000,119600000,82000000,134900000,102500000,11900000
37600000,48900000,51800000,40400000,32100000,44800000,22400000
20300000,45600000,24700000,34800000,566200000,25400000,39900000
209700000,290600000,341700000,191000000,427300000,163500000,41500000
473500000,591500000,549500000,465100000,190200000,368700000,55100000
616300000,733700000,799600000,587700000,98800000,482100000,143600000
13200000,15400000,17600000,9200000,26200000,13100000,10300000
8500000,10800000,8900000,11500000,300000,15300000,10700000
100000,500000,100000,100000,12100000,0,0
183900000,233600000,283600000,187700000,59800000,117000000,76400000
57700000,97000000,75100000,56800000,85900000,36800000,33100000
132000000,124800000,314100000,128400000,140100000,153700000,67100000
10700000,9900000,14700000,11800000,600000,9800000,8100000
4400000,5000000,9000000,5500000,0,4800000,3100000
2300000,4600000,7200000,3300000,8000000,3000000,300000
27300000,46800000,51800000,36700000,41800000,44900000,26800000
46000000,67400000,74800000,62900000,70400000,44600000,29400000
94200000,127900000,132600000,114300000,101200000,101700000,71400000
61500000,70300000,76400000,58700000,39000000,54100000,23500000
24500000,29800000,31000000,24100000,30600000,21200000,12000000
27500000,43300000,33800000,23900000,15200000,20600000,10100000
238500000,323400000,309600000,250900000,235300000,220600000,93500000
13900000,21400000,22300000,19600000,16600000,20900000,13500000
28000000,68100000,92400000,46000000,43200000,46200000,16500000
16400000,32000000,50700000,22900000,29300000,25400000,21900000
20300000,13600000,14300000,9600000,30700000,11200000,3300000
27100000,39000000,46900000,24200000,12800000,25200000,10700000
100000,600000,100000,0,46900000,200000,100000
53900000,80600000,73500000,60600000,27300000,46900000,7400000
